1970s#n	senseval2.d001.s037.t003	1970s%1:28:00::
3d#n	semeval2015.d001.s001.t006	3d%1:09:00::
3d#n	semeval2015.d001.s007.t005	3d%1:09:00::
55th#a	senseval3.d002.s050.t003	55th%5:00:00:ordinal:00
able#a	senseval2.d001.s017.t003	able%3:00:00::
able#a	senseval3.d001.s029.t007	able%3:00:00::
able#a	senseval3.d002.s036.t003	able%3:00:00::
able#a	senseval3.d002.s133.t001	able%5:00:00:capable:00
able#a	semeval2015.d001.s041.t004	able%5:00:00:competent:00
able#a	semeval2015.d001.s044.t004	able%5:00:00:competent:00
able#a	semeval2015.d003.s017.t008	able%5:00:00:capable:00
abnormal#a	semeval2015.d000.s018.t007	abnormal%3:00:00::
about#r	senseval2.d000.s023.t004	about%4:02:00::
about#r	senseval2.d001.s019.t013	about%4:02:00::
about#r	senseval2.d001.s033.t002	about%4:02:00::
about#r	senseval2.d001.s034.t000	about%4:02:00::
about#r	senseval2.d001.s082.t005	about%4:02:00::
above#r	senseval2.d000.s028.t001	above%4:02:01::
above#r	senseval2.d000.s045.t010	above%4:02:01::
absence#n	semeval2013.d001.s002.t001	absence%1:26:00::
absorb#v	senseval2.d000.s027.t001	absorb%2:31:03::
absorb#v	semeval2007.d001.s028.t000	absorb%2:31:03::
absurd#a	senseval2.d002.s068.t003	absurd%5:00:00:foolish:00
academic#a	senseval2.d002.s061.t009	academic%3:01:00::
academic#a	senseval2.d002.s065.t002	academic%3:01:00::
academic#a	senseval2.d002.s069.t008	academic%3:01:00::
academic#a	senseval2.d002.s070.t003	academic%3:01:00::
academic#a	senseval2.d002.s079.t008	academic%3:01:00::
accept#v	senseval2.d000.s058.t000	accept%2:40:03::
accept#v	senseval3.d002.s132.t001	accept%2:31:00::
accept#v	semeval2007.d001.s002.t004	accept%2:40:00::
acceptance#n	semeval2013.d004.s004.t002	acceptance%1:04:00::
accident#n	senseval2.d001.s010.t006	accident%1:11:00::
accident#n	senseval3.d000.s058.t003	accident%1:11:01::
accident#n	senseval3.d000.s088.t001	accident%1:11:01::
accident#n	senseval3.d000.s148.t000	accident%1:11:01::
accident#n	senseval3.d000.s154.t002	accident%1:11:01::
